day,symbol,strategy,spot,expiry_spot,pnl_before_fees,fees,pnl_after_fees
D0045,BTC,iron_condor,53351.72,53914.6,183.32,10.53,172.79
D0046,BTC,iron_condor,53914.6,54999.28,179.42,9.95,169.47
D0047,BTC,iron_condor,54999.28,55804.48,182.81,10.12,172.68
D0048,BTC,iron_condor,55804.48,54689.42,30.47,12.92,17.55
D0049,BTC,iron_condor,54689.42,53444.71,-87.69,17.97,-105.66
D0050,BTC,iron_condor,53444.71,52635.72,144.45,6.8,137.65
D0051,BTC,iron_condor,52635.72,53441.28,148.13,7.14,140.99
D0052,BTC,iron_condor,53441.28,52997.0,149.47,7.18,142.29
D0053,BTC,iron_condor,52997.0,57002.64,-908.82,47.71,-956.53
D0054,BTC,iron_condor,57002.64,55527.26,212.41,13.58,198.83
D0055,BTC,iron_condor,55527.26,53617.22,-104.69,27.38,-132.07
D0056,BTC,iron_condor,53617.22,54899.9,213.25,15.17,198.08
D0057,BTC,iron_condor,54899.9,57378.64,-421.33,36.03,-457.36
D0058,BTC,iron_condor,57378.64,58268.43,237.67,18.25,219.42
D0059,BTC,iron_condor,58268.43,59788.69,238.81,17.99,220.82
D0060,BTC,iron_condor,59788.69,62496.99,-417.59,39.76,-457.35
D0061,BTC,iron_condor,62496.99,62281.99,252.44,18.47,233.96
D0062,BTC,iron_condor,62281.99,59530.6,-478.61,39.95,-518.56
D0063,BTC,long_strangle,59530.6,58515.24,-682.96,28.21,-711.16
D0064,BTC,iron_condor,58515.24,60263.11,234.29,16.87,217.42
D0065,BTC,iron_condor,60263.11,57563.44,-619.91,37.24,-657.15
D0066,BTC,iron_condor,57563.44,57595.68,233.71,17.28,216.43
D0067,BTC,iron_condor,57595.68,58026.94,232.39,16.97,215.42
D0068,BTC,iron_condor,58026.94,57426.33,224.11,15.15,208.97
D0069,BTC,iron_condor,57426.33,58717.38,220.86,14.82,206.03
D0070,BTC,iron_condor,58717.38,59768.71,224.54,14.94,209.6
D0071,BTC,iron_condor,59768.71,64257.21,-981.82,58.32,-1040.15
D0072,BTC,iron_condor,64257.21,65488.28,267.57,20.8,246.78
D0073,BTC,iron_condor,65488.28,64215.17,258.05,18.05,240.01
D0074,BTC,iron_condor,64215.17,63061.02,253.84,17.87,235.97
D0075,BTC,iron_condor,63061.02,61405.14,250.01,17.69,232.32
D0076,BTC,iron_condor,61405.14,63238.1,232.34,15.2,217.14
D0077,BTC,iron_condor,63238.1,62091.69,242.43,16.2,226.23
D0078,BTC,iron_condor,62091.69,61924.28,243.04,16.8,226.24
D0079,BTC,iron_condor,61924.28,63367.52,240.74,16.48,224.26
D0080,BTC,iron_condor,63367.52,61913.46,246.73,16.91,229.82
D0081,BTC,iron_condor,61913.46,61314.85,245.56,17.38,228.18
D0082,BTC,iron_condor,61314.85,57841.27,-1034.97,50.89,-1085.87
D0083,BTC,iron_condor,57841.27,55880.4,-361.67,31.61,-393.28
D0084,BTC,iron_condor,55880.4,54865.81,199.01,11.95,187.05
D0085,BTC,iron_condor,54865.81,55559.5,195.47,11.75,183.72
D0086,BTC,iron_condor,55559.5,57653.07,-362.67,32.79,-395.46
D0087,BTC,iron_condor,57653.07,57591.23,214.41,13.67,200.73
D0088,BTC,iron_condor,57591.23,58037.28,213.89,13.61,200.28
D0089,BTC,iron_condor,58037.28,58315.47,217.11,13.96,203.15
D0090,BTC,iron_condor,58315.47,60306.57,-171.0,28.83,-199.83
D0091,BTC,iron_condor,60306.57,61991.93,228.99,15.07,213.92
D0092,BTC,iron_condor,61991.93,62496.24,240.75,16.42,224.32
D0093,BTC,iron_condor,62496.24,60513.36,-432.26,32.44,-464.7
D0094,BTC,iron_condor,60513.36,62224.09,-160.86,25.05,-185.91
D0095,BTC,iron_condor,62224.09,62942.15,191.46,9.86,181.6
D0096,BTC,iron_condor,62942.15,65382.56,-923.74,33.13,-956.87
D0097,BTC,iron_condor,65382.56,65288.97,202.3,10.46,191.84
D0098,BTC,iron_condor,65288.97,69384.81,-1103.87,59.58,-1163.45
D0099,BTC,iron_condor,69384.81,68573.36,245.13,14.56,230.56
D0100,BTC,iron_condor,68573.36,72055.87,-1121.33,49.54,-1170.88
D0101,BTC,iron_condor,72055.87,72281.19,270.41,17.48,252.93
D0102,BTC,iron_condor,72281.19,71083.64,271.84,17.62,254.22
D0103,BTC,iron_condor,71083.64,68574.76,-158.94,36.63,-195.57
D0104,BTC,iron_condor,68574.76,68216.62,268.21,18.53,249.67
D0105,BTC,iron_condor,68216.62,71299.92,-637.3,43.64,-680.94
D0106,BTC,iron_condor,71299.92,73115.52,286.81,20.82,265.99
D0107,BTC,iron_condor,73115.52,74677.75,290.31,20.6,269.71
D0108,BTC,iron_condor,74677.75,69274.28,-1198.24,69.92,-1268.16
D0109,BTC,long_strangle,69274.28,70803.52,-781.82,32.29,-814.11
D0110,BTC,long_strangle,70803.52,72014.85,-806.43,33.31,-839.73
D0111,BTC,iron_condor,72014.85,70746.88,297.72,22.81,274.92
D0112,BTC,iron_condor,70746.88,69332.38,294.03,22.75,271.28
D0113,BTC,iron_condor,69332.38,69293.17,288.75,22.43,266.32
D0114,BTC,iron_condor,69293.17,73114.28,-1104.57,47.77,-1152.34
D0115,BTC,long_strangle,73114.28,70696.4,-155.45,58.69,-214.14
D0116,BTC,long_strangle,70696.4,69718.53,-777.28,32.1,-809.38
D0117,BTC,iron_condor,69718.53,72729.01,-132.0,40.21,-172.21
D0118,BTC,long_strangle,72729.01,71681.71,-826.53,34.14,-860.66
D0119,BTC,iron_condor,71681.71,70831.44,271.18,17.73,253.45
D0120,BTC,iron_condor,70831.44,71014.25,265.91,17.19,248.72
D0121,BTC,iron_condor,71014.25,68265.48,-572.9,40.94,-613.84
D0122,BTC,iron_condor,68265.48,68704.76,263.36,17.78,245.58
D0123,BTC,iron_condor,68704.76,66111.11,-370.89,40.94,-411.82
D0124,BTC,iron_condor,66111.11,67941.27,262.38,18.59,243.79
D0125,BTC,iron_condor,67941.27,67914.56,249.35,15.6,233.75
D0126,BTC,iron_condor,67914.56,72927.77,-1116.83,66.07,-1182.9
D0127,BTC,iron_condor,72927.77,73537.55,300.4,22.81,277.59
D0128,BTC,iron_condor,73537.55,76722.36,-449.69,47.99,-497.68
